Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5712508_clean_2	SRR5712508_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30818070.0	0.0	37-150	47.0	13.312641220751035	146.09858005384504	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712509_clean_1	SRR5712509_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31028970.0	0.0	36-150	52.0	15.356681110709825	145.19505848888957	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712509_clean_2	SRR5712509_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31028970.0	0.0	36-150	49.0	8.011830988216746	145.94157102217702	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712510_clean_1	SRR5712510_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	27191226.0	0.0	37-150	51.0	14.851087952862837	144.79705972066137	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712510_clean_2	SRR5712510_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	27191226.0	0.0	37-150	49.0	9.21067437962904	145.7498501170929	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712511_clean_1	SRR5712511_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36118877.0	0.0	36-150	48.0	25.53461535889484	144.48052900426555	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712511_clean_2	SRR5712511_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36118877.0	0.0	36-150	46.0	17.806143662325567	144.65009839591636	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712512_clean_1	SRR5712512_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	27983672.0	0.0	37-150	52.0	13.264980569075687	145.09759601956455	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712512_clean_2	SRR5712512_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	27983672.0	0.0	37-150	49.0	8.615392801825637	145.7777907416868	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712513_clean_1	SRR5712513_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	32368790.0	0.0	37-150	51.0	14.55602020457877	145.20385312518633	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712513_clean_2	SRR5712513_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	32368790.0	0.0	37-150	49.0	10.044822465971844	145.94880540792536	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
